captured_at,report_date,market,symbol,name,start_date,end_date,start_price,end_price,change_pct
2026-03-20T17:49:02.964666,2026-03-20,SP500,MSFT,MSFT,2026-03-13,2026-03-19,395.5499877929688,389.0199890136719,-1.65
2026-03-20T17:49:02.964666,2026-03-20,SP500,AMZN,AMZN,2026-03-13,2026-03-19,207.6699981689453,208.759994506836,0.52
2026-03-20T17:49:02.964666,2026-03-20,SP500,META,META,2026-03-13,2026-03-19,613.7100219726562,606.7000122070312,-1.14
2026-03-20T17:49:02.964666,2026-03-20,SP500,AVGO,AVGO,2026-03-13,2026-03-19,322.1600036621094,319.8399963378906,-0.72
2026-03-20T17:49:02.964666,2026-03-20,SP500,TSLA,TSLA,2026-03-13,2026-03-19,391.2000122070313,380.2999877929688,-2.79
2026-03-20T17:49:02.964666,2026-03-20,SP500,WMT,WMT,2026-03-13,2026-03-19,126.5199966430664,121.08999633789062,-4.29
2026-03-20T17:49:02.964666,2026-03-20,SP500,LLY,LLY,2026-03-13,2026-03-19,985.0800170898438,917.5,-6.86
2026-03-20T17:49:02.964666,2026-03-20,SP500,JPM,JPM,2026-03-13,2026-03-19,283.44000244140625,287.9700012207031,1.6
2026-03-20T17:49:02.964666,2026-03-20,SP500,XOM,XOM,2026-03-13,2026-03-19,156.1199951171875,158.16000366210938,1.31
2026-03-20T17:49:02.964666,2026-03-20,SP500,V,V,2026-03-13,2026-03-19,307.1400146484375,299.7099914550781,-2.42
2026-03-20T17:49:02.964666,2026-03-20,SP500,JNJ,JNJ,2026-03-13,2026-03-19,241.5200042724609,237.6000061035156,-1.62
2026-03-20T17:49:02.964666,2026-03-20,SP500,MU,MU,2026-03-13,2026-03-19,426.1300048828125,444.2699890136719,4.26
2026-03-20T17:49:02.964666,2026-03-20,SP500,ORCL,ORCL,2026-03-13,2026-03-19,155.11000061035156,155.52000427246094,0.26
2026-03-20T17:49:02.964666,2026-03-20,SP500,MA,MA,2026-03-13,2026-03-19,497.989990234375,491.1400146484375,-1.38
2026-03-20T17:49:02.964666,2026-03-20,SP500,COST,COST,2026-03-13,2026-03-19,1008.4299926757812,974.780029296875,-3.34
2026-03-20T17:49:02.964666,2026-03-20,SP500,CVX,CVX,2026-03-13,2026-03-19,196.82000732421875,201.44000244140625,2.35
